Date,Long:CANADIAN DOLLAR,Short:CANADIAN DOLLAR,Net:CANADIAN DOLLAR
2010-01-05,51736,11540,40196
2010-01-12,60219,11524,48695
2010-01-19,58048,11245,46803
2010-01-26,35659,9850,25809
2010-02-02,25639,10284,15355
2010-02-09,24285,15422,8863
2010-02-16,35026,11571,23455
2010-02-23,40224,11803,28421
2010-03-02,47170,8881,38289
2010-03-09,71350,9951,61399
2010-03-16,80982,11342,69640
2010-03-23,90278,17251,73027
2010-03-30,88595,18299,70296
2010-04-06,88881,19569,69312
2010-04-13,87918,17443,70475
2010-04-20,82664,13008,69656
2010-04-27,72366,13168,59198
2010-05-04,65431,13419,52012
2010-05-11,58010,7556,50454
2010-05-18,53254,8369,44885
2010-05-25,40113,16241,23872
2010-06-01,37262,15108,22154
2010-06-08,36775,14265,22510
2010-06-15,37460,10106,27354
2010-06-22,38499,12146,26353
2010-06-29,31575,15681,15894
2010-07-06,28549,20455,8094
2010-07-13,27952,5914,22038
2010-07-20,23739,7315,16424
2010-07-27,27045,3177,23868
2010-08-03,40335,6153,34182
2010-08-10,46616,5437,41179
2010-08-17,34446,4932,29514
2010-08-24,24889,8742,16147
2010-08-31,26957,31721,-4764
2010-09-07,27734,27282,452
2010-09-14,29057,11362,17695
2010-09-21,46985,17170,29815
2010-09-28,43078,15208,27870
2010-10-05,62909,20231,42678
2010-10-12,63283,19497,43786
2010-10-19,47852,17112,30740
2010-10-26,37802,17927,19875
2010-11-02,41890,18525,23365
2010-11-09,62533,25195,37338
2010-11-16,58390,19949,38441
2010-11-23,36797,14298,22499
2010-11-30,30999,11844,19155
2010-12-07,47003,13281,33722
2010-12-14,44840,11444,33396
2010-12-21,39665,14717,24948
2010-12-28,58142,23355,34787
2011-01-04,65421,27073,38348
2011-01-11,70872,23115,47757
2011-01-18,67614,23559,44055
2011-01-25,54075,22356,31719
2011-02-01,55186,21372,33814
2011-02-08,72899,33109,39790
2011-02-15,77018,4928,72090
2011-02-22,72774,4426,68348
2011-03-01,78365,5538,72827
2011-03-08,81253,3709,77544
2011-03-15,60789,3798,56991
2011-03-22,49722,3745,45977
2011-03-29,52886,1641,51245
2011-04-05,68876,3846,65030
2011-04-12,66354,2613,63741
2011-04-19,67489,2454,65035
2011-04-26,61493,2430,59063
2011-05-03,59863,5822,54041
2011-05-10,42698,5495,37203
2011-05-17,36008,9717,26291
2011-05-24,31219,9942,21277
2011-05-31,35657,9255,26402
2011-06-07,32631,19109,13522
2011-06-14,33746,14891,18855
2011-06-21,19983,17779,2204
2011-06-28,21896,23759,-1863
2011-07-05,31346,24525,6821
2011-07-12,39535,24201,15334
2011-07-19,52623,24859,27764
2011-07-26,52884,16743,36141
2011-08-02,57482,16445,41037
2011-08-09,38872,15168,23704
2011-08-16,23153,19032,4121
2011-08-23,23368,14564,8804
2011-08-30,24823,10884,13939
2011-09-06,18441,16360,2081
2011-09-13,17337,23640,-6303
2011-09-20,20422,25880,-5458
2011-09-27,21320,41870,-20550
2011-10-04,22713,38395,-15682
2011-10-11,23922,48835,-24913
2011-10-18,23343,48138,-24795
2011-10-25,25368,43291,-17923
2011-11-01,27420,42240,-14820
2011-11-08,28003,43571,-15568
2011-11-15,28819,46034,-17215
2011-11-22,29041,51185,-22144
2011-11-29,30069,56938,-26869
2011-12-06,31022,51193,-20171
2011-12-13,35787,49172,-13385
2011-12-20,21428,48296,-26868
2011-12-27,28132,49944,-21812
2012-01-03,27665,51036,-23371
2012-01-10,23039,51688,-28649
2012-01-17,25118,53848,-28730
2012-01-24,29772,48681,-18909
2012-01-31,30140,49549,-19409
2012-02-07,37065,34881,2184
2012-02-14,38465,28899,9566
2012-02-21,47784,33672,14112
2012-02-28,50763,28283,22480
2012-03-06,55906,29874,26032
2012-03-13,59548,32827,26721
2012-03-20,62768,20453,42315
2012-03-27,53432,29695,23737
2012-04-03,57291,27804,29487
2012-04-10,47992,20025,27967
2012-04-17,58319,20291,38028
2012-04-24,63028,18804,44224
2012-05-01,84458,14235,70223
2012-05-08,69914,9819,60095
2012-05-15,66286,15281,51005
2012-05-22,57577,19022,38555
2012-05-29,48793,14708,34085
2012-06-05,39559,24653,14906
2012-06-12,31308,21688,9620
2012-06-19,27808,19607,8201
2012-06-26,27778,18501,9277
2012-07-03,22923,14225,8698
2012-07-10,24673,20335,4338
2012-07-17,23628,24836,-1208
2012-07-24,29695,32127,-2432
2012-07-31,30652,18203,12449
2012-08-07,43190,24068,19122
2012-08-14,53894,25301,28593
2012-08-21,76008,25141,50867
2012-08-28,86639,25703,60936
2012-09-04,89309,22754,66555
2012-09-11,116546,14686,101860
2012-09-18,126688,14807,111881
2012-09-25,123643,18297,105346
2012-10-02,112706,11530,101176
2012-10-09,106300,10672,95628
2012-10-16,106369,12619,93750
2012-10-23,98566,9478,89088
2012-10-30,86306,7535,78771
2012-11-06,82882,8120,74762
2012-11-13,75935,9816,66119
2012-11-20,72893,11447,61446
2012-11-27,72663,10284,62379
2012-12-04,66356,9285,57071
2012-12-11,74220,11687,62533
2012-12-18,81493,7215,74278
2012-12-24,72777,9425,63352
2012-12-31,73678,7752,65926
2013-01-08,70435,6430,64005
2013-01-15,73099,4431,68668
2013-01-22,66225,8273,57952
2013-01-29,53915,18858,35057
2013-02-05,44538,16777,27761
2013-02-12,39324,12759,26565
2013-02-19,46033,26654,19379
2013-02-26,42171,63604,-21433
2013-03-05,39564,86227,-46663
2013-03-12,37020,90417,-53397
2013-03-19,39417,104748,-65331
2013-03-26,26286,88931,-62645
2013-04-02,26212,90756,-64544
2013-04-09,24056,95189,-71133
2013-04-16,26003,101916,-75913
2013-04-23,27940,99619,-71679
2013-04-30,23246,91094,-67848
2013-05-07,25741,77657,-51916
2013-05-14,28352,72769,-44417
2013-05-21,30686,64538,-33852
2013-05-28,28298,61657,-33359
2013-06-04,22351,62127,-39776
2013-06-11,17343,53250,-35907
2013-06-18,15470,41557,-26087
2013-06-25,27186,37824,-10638
2013-07-02,35398,51648,-16250
2013-07-09,37260,61089,-23829
2013-07-16,32187,52230,-20043
2013-07-23,22262,39020,-16758
2013-07-30,20729,32163,-11434
2013-08-06,22629,33065,-10436
2013-08-13,21751,30832,-9081
2013-08-20,26559,36103,-9544
2013-08-27,35375,60334,-24959
2013-09-03,31879,66518,-34639
2013-09-10,24621,55563,-30942
2013-09-17,25286,44050,-18764
2013-09-24,40278,45953,-5675
2013-10-01,43734,44689,-955
2013-10-08,33857,42520,-8663
2013-10-15,28436,39250,-10814
2013-10-22,28906,34270,-5364
2013-10-29,27233,42470,-15237
2013-11-05,26803,44805,-18002
2013-11-12,29306,45398,-16092
2013-11-19,31656,47991,-16335
2013-11-26,28143,56923,-28780
2013-12-03,32589,74172,-41583
2013-12-10,31049,88563,-57514
2013-12-17,25133,90633,-65500
2013-12-24,28191,86623,-58432
2013-12-31,28206,86162,-57956
2014-01-07,30535,91077,-60542
2014-01-14,34212,101557,-67345
2014-01-21,29423,99750,-70327
2014-01-28,25976,88765,-62789
2014-02-04,29439,89739,-60300
2014-02-11,27745,86673,-58928
2014-02-18,27756,92756,-65000
2014-02-25,24865,83456,-58591
2014-03-04,23306,84402,-61096
2014-03-11,25180,77371,-52191
2014-03-18,27751,97556,-69805
2014-03-25,40441,73656,-33215
2014-04-01,27549,64543,-36994
2014-04-08,28704,63011,-34307
2014-04-15,28288,63714,-35426
2014-04-22,27529,62984,-35455
2014-04-29,30093,60388,-30295
2014-05-06,28044,59644,-31600
2014-05-13,26986,53023,-26037
2014-05-20,26500,53034,-26534
2014-05-27,32581,54391,-21810
2014-06-03,32519,55250,-22731
2014-06-10,30303,54411,-24108
2014-06-17,34582,56115,-21533
2014-06-24,40595,45915,-5320
2014-07-01,44755,42060,2695
2014-07-08,58245,47950,10295
2014-07-15,60353,44732,15621
2014-07-22,62078,41497,20581
2014-07-29,56459,33768,22691
2014-08-05,48944,27489,21455
2014-08-12,44053,26055,17998
2014-08-19,41844,34563,7281
2014-08-26,38522,32859,5663
2014-09-02,35333,26142,9191
2014-09-09,33400,21770,11630
2014-09-16,37347,29803,7544
2014-09-23,27673,24609,3064
2014-09-30,33014,37580,-4566
2014-10-07,39174,46626,-7452
2014-10-14,35688,51855,-16167
2014-10-21,28837,50371,-21534
2014-10-28,26093,47498,-21405
2014-11-04,29627,49042,-19415
2014-11-11,32668,54514,-21846
2014-11-18,32082,51599,-19517
2014-11-25,32106,48447,-16341
2014-12-02,28533,46922,-18389
2014-12-09,33406,47768,-14362
2014-12-16,32397,48091,-15694
2014-12-23,33904,46091,-12187
2014-12-30,32726,46759,-14033
2015-01-06,31275,48362,-17087
2015-01-13,27599,48778,-21179
2015-01-20,24238,53318,-29080
2015-01-27,28914,52877,-23963
2015-02-03,24553,51874,-27321
2015-02-10,21176,54509,-33333
2015-02-17,19998,52840,-32842
2015-02-24,22423,58668,-36245
2015-03-03,24332,63195,-38863
2015-03-10,22011,61041,-39030
2015-03-17,21001,53823,-32822
2015-03-24,19193,51849,-32656
2015-03-31,18771,48389,-29618
2015-04-07,22081,52100,-30019
2015-04-14,23020,53598,-30578
2015-04-21,33343,60394,-27051
2015-04-28,33858,54767,-20909
2015-05-05,30028,40108,-10080
2015-05-12,29133,33115,-3982
2015-05-19,25184,20836,4348
2015-05-26,30695,23362,7333
2015-06-02,30095,31120,-1025
2015-06-09,21004,34749,-13745
2015-06-16,22484,34765,-12281
2015-06-23,18270,35849,-17579
2015-06-30,23105,46555,-23450
2015-07-07,35928,68196,-32268
2015-07-14,38177,78903,-40726
2015-07-21,41443,85011,-43568
2015-07-28,35195,91262,-56067
2015-08-04,33993,98173,-64180
2015-08-11,28546,95951,-67405
2015-08-18,21407,88201,-66794
2015-08-25,29555,89267,-59712
2015-09-01,28964,84083,-55119
2015-09-08,29506,78146,-48640
2015-09-15,28509,75592,-47083
2015-09-22,40901,79295,-38394
2015-09-29,36211,78446,-42235
2015-10-06,29276,64286,-35010
2015-10-13,28207,62156,-33949
2015-10-20,31368,58480,-27112
2015-10-27,34134,53029,-18895
2015-11-03,32017,51508,-19491
2015-11-10,45787,63694,-17907
2015-11-17,45589,73941,-28352
2015-11-24,41304,79921,-38617
