Date,Long:JAPANESE YEN,Short:JAPANESE YEN,Net:JAPANESE YEN
2011-01-04,65924,26859,39065
2011-01-11,43884,19148,24736
2011-01-18,46258,25729,20529
2011-01-25,54495,22277,32218
2011-02-01,52648,21167,31481
2011-02-08,56607,19876,36731
2011-02-15,24389,42937,-18548
2011-02-22,23457,51203,-27746
2011-03-01,62396,21122,41274
2011-03-08,43205,26549,16656
2011-03-15,52603,22373,30230
2011-03-22,52484,17959,34525
2011-03-29,37737,30685,7052
2011-04-05,16516,59747,-43231
2011-04-12,14183,67060,-52877
2011-04-19,12935,65918,-52983
2011-04-26,14063,51060,-36997
2011-05-03,19779,38598,-18819
2011-05-10,36100,23046,13054
2011-05-17,38016,22643,15373
2011-05-24,32188,24182,8006
2011-05-31,24186,25834,-1648
2011-06-07,35883,18252,17631
2011-06-14,38618,13850,24768
2011-06-21,47074,14480,32594
2011-06-28,34319,20696,13623
2011-07-05,34595,20268,14327
2011-07-12,52277,23989,28288
2011-07-19,63535,21380,42155
2011-07-26,72114,20812,51302
2011-08-02,78855,20022,58833
2011-08-09,53386,11237,42149
2011-08-16,59060,11712,47348
2011-08-23,60831,13692,47139
2011-08-30,54136,12951,41185
2011-09-06,48125,15338,32787
2011-09-13,53778,18823,34955
2011-09-20,63888,18271,45617
2011-09-27,61166,18844,42322
2011-10-04,60867,17405,43462
2011-10-11,54190,19071,35119
2011-10-18,49047,22140,26907
2011-10-25,75999,21720,54279
2011-11-01,43671,17767,25904
2011-11-08,44320,16243,28077
2011-11-15,49916,16236,33680
2011-11-22,57018,13838,43180
2011-11-29,56162,15615,40547
2011-12-06,56817,18546,38271
2011-12-13,52249,16649,35600
2011-12-20,52148,27672,24476
2011-12-27,52691,30106,22585
2012-01-03,72986,16505,56481
2012-01-10,76671,17014,59657
2012-01-17,78355,19493,58862
2012-01-24,66194,21827,44367
2012-01-31,81054,24385,56669
2012-02-07,84847,29676,55171
2012-02-14,64096,34637,29459
2012-02-21,62062,44805,17257
2012-02-28,51558,52761,-1203
2012-03-06,33281,52639,-19358
2012-03-13,22249,64629,-42380
2012-03-20,34923,60744,-25821
2012-03-27,10905,78527,-67622
2012-04-03,14563,79671,-65108
2012-04-10,16097,82181,-66084
2012-04-17,16917,74720,-57803
2012-04-24,12669,68572,-55903
2012-05-01,14110,64283,-50173
2012-05-08,16369,57462,-41093
2012-05-15,17455,51770,-34315
2012-05-22,20483,38498,-18015
2012-05-29,21620,32950,-11330
2012-06-05,37376,25303,12073
2012-06-12,38182,25875,12307
2012-06-19,44740,29603,15137
2012-06-26,43910,39368,4542
2012-07-03,36950,32775,4175
2012-07-10,32920,23968,8952
2012-07-17,36734,25613,11121
2012-07-24,52024,26963,25061
2012-07-31,55373,23119,32254
2012-08-07,55883,28344,27539
2012-08-14,55983,25279,30704
2012-08-21,43584,32413,11171
2012-08-28,53571,32015,21556
2012-09-04,55133,31126,24007
2012-09-11,60862,28089,32773
2012-09-18,41500,26024,15476
2012-09-25,47318,26207,21111
2012-10-02,52696,23361,29335
2012-10-09,40778,27864,12914
2012-10-16,42767,32681,10086
2012-10-23,25550,43746,-18196
2012-10-30,19886,56906,-37020
2012-11-06,24966,65070,-40104
2012-11-13,21980,52427,-30447
2012-11-20,28272,79661,-51389
2012-11-27,27027,106493,-79466
2012-12-04,20929,111255,-90326
2012-12-11,16369,110770,-94401
2012-12-18,27935,117098,-89163
2012-12-24,26757,112365,-85608
2012-12-31,30432,110949,-80517
2013-01-08,32129,106225,-74096
2013-01-15,39447,105174,-65727
2013-01-22,41983,106051,-64068
2013-01-29,48476,119722,-71246
2013-02-05,50667,119080,-68413
2013-02-12,55782,117088,-61306
2013-02-19,54662,120553,-65891
2013-02-26,51998,117342,-65344
2013-03-05,50958,124309,-73351
2013-03-12,51240,145003,-93763
2013-03-19,55408,135401,-79993
2013-03-26,46931,136080,-89149
2013-04-02,46966,125137,-78171
2013-04-09,39699,117396,-77697
2013-04-16,26448,119859,-93411
2013-04-23,25942,105672,-79730
2013-04-30,24872,95999,-71127
2013-05-07,27886,106446,-78560
2013-05-14,28882,117289,-88407
2013-05-21,19454,114640,-95186
2013-05-28,18406,118175,-99769
2013-06-04,19176,101920,-82744
2013-06-11,21722,94628,-72906
2013-06-18,23010,84900,-61890
2013-06-25,24376,85838,-61462
2013-07-02,27336,98072,-70736
2013-07-09,25117,105422,-80305
2013-07-16,20220,105982,-85762
2013-07-23,22513,110009,-87496
2013-07-30,18216,100351,-82135
2013-08-06,19421,99634,-80213
2013-08-13,17375,91837,-74462
2013-08-20,19720,91441,-71721
2013-08-27,23396,101749,-78353
2013-09-03,27665,107426,-79761
2013-09-10,18854,113920,-95066
2013-09-17,26088,114882,-88794
2013-09-24,18173,110991,-92818
2013-10-01,18634,100958,-82324
2013-10-08,28165,85262,-57097
2013-10-15,25392,84658,-59266
2013-10-22,13928,85730,-71802
2013-10-29,17483,79878,-62395
2013-11-05,18734,92526,-73792
2013-11-12,20977,116084,-95107
2013-11-19,19424,131640,-112216
2013-11-26,23999,147201,-123202
2013-12-03,21290,154673,-133383
2013-12-10,18085,147796,-129711
2013-12-17,22225,152448,-130223
2013-12-24,14261,158083,-143822
2013-12-31,14274,149502,-135228
2014-01-07,11340,140208,-128868
2014-01-14,10754,128820,-118066
2014-01-21,13128,128089,-114961
2014-01-28,15977,102169,-86192
2014-02-04,15896,92725,-76829
2014-02-11,13686,92472,-78786
2014-02-18,16736,96520,-79784
2014-02-25,14727,99817,-85090
2014-03-04,20407,100116,-79709
2014-03-11,15726,115082,-99356
2014-03-18,24144,85243,-61099
2014-03-25,17600,86487,-68887
2014-04-01,22162,110800,-88638
2014-04-08,13340,100802,-87462
2014-04-15,14351,83067,-68716
2014-04-22,16564,83807,-67243
2014-04-29,13846,84198,-70352
2014-05-06,20381,81109,-60728
2014-05-13,17471,82178,-64707
2014-05-20,18681,72468,-53787
2014-05-27,16999,76035,-59036
2014-06-03,12578,86796,-74218
2014-06-10,11893,94055,-82162
2014-06-17,17832,85870,-68038
2014-06-24,10325,81548,-71223
2014-07-01,18739,77425,-58686
2014-07-08,11174,77549,-66375
2014-07-15,8385,71333,-62948
2014-07-22,11979,65895,-53916
2014-07-29,7828,80897,-73069
2014-08-05,9896,105295,-95399
2014-08-12,12518,93615,-81097
2014-08-19,17976,105247,-87271
2014-08-26,19512,122403,-102891
2014-09-02,15485,132793,-117308
2014-09-09,17280,117953,-100673
2014-09-16,37617,120799,-83182
2014-09-23,28391,133813,-105422
2014-09-30,29910,150788,-120878
2014-10-07,24837,137388,-112551
2014-10-14,22839,123986,-101147
2014-10-21,26634,98372,-71738
2014-10-28,23883,91282,-67399
2014-11-04,37917,109568,-71651
2014-11-11,47271,129834,-82563
2014-11-18,46612,139066,-92454
2014-11-25,46304,150684,-104380
2014-12-02,41530,152690,-111160
2014-12-09,38067,142203,-104136
2014-12-16,45652,132579,-86927
2014-12-23,29021,122763,-93742
2014-12-30,28836,125155,-96319
2015-01-06,33160,123243,-90083
2015-01-13,25872,120497,-94625
2015-01-20,26525,104411,-77886
2015-01-27,26526,91184,-64658
2015-02-03,25586,85157,-59571
2015-02-10,25884,81008,-55124
2015-02-17,31269,80360,-49091
2015-02-24,31611,79123,-47512
2015-03-03,33944,86465,-52521
2015-03-10,32898,92285,-59387
2015-03-17,44496,92550,-48054
2015-03-24,39156,85061,-45905
2015-03-31,44409,68333,-23924
2015-04-07,53320,77769,-24449
2015-04-14,54783,77853,-23070
2015-04-21,51520,65968,-14448
2015-04-28,48721,54214,-5493
2015-05-05,41852,73035,-31183
2015-05-12,37848,61441,-23593
2015-05-19,63398,85403,-22005
2015-05-26,50210,112434,-62224
2015-06-02,46681,132374,-85693
2015-06-09,42440,158726,-116286
2015-06-16,64760,145424,-80664
2015-06-23,39019,126736,-87717
2015-06-30,45479,124301,-78822
2015-07-07,46070,109699,-63629
2015-07-14,49167,96538,-47371
2015-07-21,50899,113213,-62314
2015-07-28,46270,109808,-63538
2015-08-04,49906,129622,-79716
2015-08-11,45768,150994,-105226
2015-08-18,45935,136065,-90130
2015-08-25,59922,98981,-39059
2015-09-01,68023,83578,-15555
2015-09-08,63121,69783,-6662
2015-09-15,36449,63263,-26814
2015-09-22,48282,71960,-23678
2015-09-29,39753,61805,-22052
2015-10-06,39050,56649,-17599
2015-10-13,38004,51836,-13832
2015-10-20,48747,52386,-3639
2015-10-27,36437,70348,-33911
2015-11-03,41489,85276,-43787
2015-11-10,35081,101969,-66888
2015-11-17,34475,113086,-78611
2015-11-24,30277,107613,-77336
2015-12-01,31228,106129,-74901
2015-12-08,26400,94450,-68050
2015-12-15,37301,63881,-26580
2015-12-22,37677,68044,-30367
2015-12-29,45008,62234,-17226
2016-01-05,67471,63368,4103
2016-01-12,78385,53119,25266
2016-01-19,84485,46832,37653
2016-01-26,92628,42602,50026
2016-02-02,82108,44863,37245
2016-02-09,75811,32579,43232
2016-02-16,84518,36617,47901
2016-02-23,92376,39642,52734
2016-03-01,94070,34445,59625
2016-03-08,93867,29534,64333
2016-03-15,79426,33937,45489
2016-03-22,82812,29466,53346
2016-03-29,84870,30483,54387
2016-04-05,98130,38057,60073
2016-04-12,100120,33930,66190
2016-04-19,105710,33840,71870
2016-04-26,97470,30972,66498
2016-05-03,85627,24106,61521
2016-05-10,88897,29850,59047
2016-05-17,86165,27246,58919
2016-05-24,54792,32733,22059
