Date,Long:RUSSIAN RUBLE,Short:RUSSIAN RUBLE,Net:RUSSIAN RUBLE
2011-01-04,10347,0,10347
2011-01-11,10591,0,10591
2011-01-18,10010,0,10010
2011-02-01,10619,0,10619
2011-02-08,13485,0,13485
2011-02-15,14484,0,14484
2011-02-22,15844,0,15844
2011-03-01,16235,0,16235
2011-03-08,13452,0,13452
2011-03-15,13665,0,13665
2011-03-22,13563,0,13563
2011-03-29,13172,0,13172
2011-04-05,13662,0,13662
2011-04-12,12190,0,12190
2011-04-19,15193,0,15193
2011-04-26,8705,0,8705
2011-05-03,8770,0,8770
2011-05-10,7423,355,7068
2011-05-17,6440,0,6440
2011-05-24,8224,0,8224
2011-05-31,8879,0,8879
2011-06-07,12808,0,12808
2011-06-14,13803,0,13803
2011-06-21,12393,0,12393
2011-06-28,13161,527,12634
2011-07-05,13953,0,13953
2011-07-12,14751,0,14751
2011-07-19,15002,0,15002
2011-07-26,16498,0,16498
2011-08-02,17236,59,17177
2011-08-09,12354,1439,10915
2011-08-16,10712,1122,9590
2011-08-23,12390,1122,11268
2011-08-30,9166,1000,8166
2011-09-06,9166,1000,8166
2011-09-13,10694,129,10565
2011-09-20,11369,129,11240
2011-09-27,12185,226,11959
2011-10-04,13260,497,12763
2011-10-11,12554,978,11576
2011-10-18,13532,1011,12521
2011-10-25,14001,202,13799
2011-11-01,11265,0,11265
2011-11-08,11306,127,11179
2011-11-15,9335,127,9208
2011-11-22,9335,127,9208
2011-11-29,7462,127,7335
2011-12-06,7483,127,7356
2011-12-13,6572,127,6445
2011-12-20,6938,1547,5391
2011-12-27,6938,1287,5651
2012-01-03,7595,1224,6371
2012-01-10,7595,603,6992
2012-01-17,7958,412,7546
2012-01-24,9025,416,8609
2012-01-31,10151,534,9617
2012-02-07,10081,992,9089
2012-02-14,10201,1386,8815
2012-02-21,11296,1790,9506
2012-02-28,11526,6742,4784
2012-03-06,11579,6624,4955
2012-03-13,11589,6828,4761
2012-03-20,11686,6293,5393
2012-03-27,11349,6333,5016
2012-04-03,11210,6367,4843
2012-04-10,10430,6491,3939
2012-04-17,9306,6318,2988
2012-04-24,9085,6413,2672
2012-05-01,9131,6536,2595
2012-05-08,8758,6469,2289
2012-05-15,8741,6404,2337
2012-05-22,7784,5630,2154
2012-05-29,6102,5520,582
2012-06-05,6081,5578,503
2012-06-12,6256,5800,456
2012-06-19,5001,6375,-1374
2012-06-26,4612,6139,-1527
2012-07-03,4712,6325,-1613
2012-07-10,4294,6356,-2062
2012-07-17,4294,6482,-2188
2012-07-24,4294,6049,-1755
2012-07-31,4294,5562,-1268
2012-08-07,5453,5368,85
2012-08-14,6618,5721,897
2012-08-21,6783,5828,955
2012-08-28,6179,5866,313
2012-09-04,5393,5588,-195
2012-09-11,6861,5820,1041
2012-09-18,8503,5363,3140
2012-09-25,8398,5072,3326
2012-10-02,7872,5072,2800
2012-10-09,7824,5072,2752
2012-10-16,8003,5072,2931
2012-10-23,8126,5307,2819
2012-10-30,7108,5072,2036
2012-11-06,5940,5072,868
2012-11-13,5009,7389,-2380
2012-11-20,5008,6533,-1525
2012-11-27,6681,5072,1609
2012-12-04,7556,5072,2484
2012-12-11,8641,5621,3020
2012-12-18,9464,5436,4028
2012-12-24,10503,5229,5274
2012-12-31,10625,5202,5423
2013-01-08,10792,5214,5578
2013-01-15,10636,5231,5405
2013-01-22,10696,5206,5490
2013-01-29,10637,5278,5359
2013-02-05,11271,5398,5873
2013-02-12,11450,5418,6032
2013-02-19,11534,5371,6163
2013-02-26,12289,5586,6703
2013-03-05,9398,5400,3998
2013-03-12,8377,5415,2962
2013-03-19,6939,5391,1548
2013-03-26,6984,5277,1707
2013-04-02,7373,5282,2091
2013-04-09,8178,6738,1440
2013-04-16,8002,6357,1645
2013-04-23,7432,7216,216
2013-04-30,8009,7672,337
2013-05-07,7965,7573,392
2013-05-14,6403,6664,-261
2013-05-21,5905,5712,193
2013-05-28,7948,7805,143
2013-06-04,7564,6991,573
2013-06-11,6478,6657,-179
2013-06-18,4643,5334,-691
2013-06-25,5436,6415,-979
2013-07-02,5317,6067,-750
2013-07-09,4557,5701,-1144
2013-07-16,4180,5329,-1149
2013-07-23,6653,6490,163
2013-07-30,7023,6426,597
2013-08-06,6727,6302,425
2013-08-13,6062,5913,149
2013-08-20,7726,6863,863
2013-08-27,8233,6390,1843
2013-09-03,5968,5092,876
2013-09-10,5483,5141,342
2013-09-17,7787,5712,2075
2013-09-24,9783,7279,2504
2013-10-01,8417,6617,1800
2013-10-08,7111,5445,1666
2013-10-15,6820,5345,1475
2013-10-22,7157,5172,1985
2013-10-29,7656,5449,2207
2013-11-05,7955,6022,1933
2013-11-12,7135,5826,1309
2013-11-19,6634,5450,1184
2013-11-26,3217,5479,-2262
2013-12-03,3167,5513,-2346
2013-12-10,3909,5677,-1768
2013-12-31,8196,5522,2674
2014-01-07,8225,5660,2565
2014-01-14,6636,5234,1402
2014-01-21,4217,4503,-286
2014-01-28,3457,4758,-1301
2014-02-04,2738,4830,-2092
2014-02-11,5757,7649,-1892
2014-02-18,4386,9317,-4931
2014-02-25,4028,8596,-4568
2014-03-04,5095,8877,-3782
2014-03-18,3732,7879,-4147
2014-04-01,3438,5672,-2234
2014-04-15,4219,6619,-2400
2014-04-22,4830,7220,-2390
2014-04-29,5549,8641,-3092
2014-05-06,5688,9142,-3454
2014-05-13,5932,8945,-3013
2014-05-20,6399,8200,-1801
2014-05-27,6531,7170,-639
2014-06-03,7409,7285,124
2014-06-10,7084,7213,-129
2014-06-17,7487,3661,3826
2014-06-24,7763,3661,4102
2014-07-01,7619,3663,3956
2014-07-08,6215,3663,2552
2014-07-15,6652,4015,2637
2014-07-22,5538,4109,1429
2014-07-29,6450,5650,800
2014-08-05,3900,6407,-2507
2014-08-12,4850,6909,-2059
2014-08-19,7150,7920,-770
2014-08-26,6915,7679,-764
2014-09-02,7606,8477,-871
2014-09-09,6517,8036,-1519
2014-09-16,4477,7148,-2671
2014-09-23,6315,7157,-842
2014-09-30,6883,7807,-924
2014-10-07,7094,8828,-1734
2014-10-14,6316,10234,-3918
2014-10-21,4433,9936,-5503
2014-10-28,4760,10527,-5767
2014-11-04,5237,11429,-6192
2014-11-11,4445,8527,-4082
2014-11-18,4445,8050,-3605
2014-11-25,6755,8852,-2097
2014-12-02,4519,7057,-2538
2014-12-09,4519,7081,-2562
2014-12-16,3936,1349,2587
2014-12-23,5099,1203,3896
2014-12-30,5039,1176,3863
2015-01-06,5047,1068,3979
2015-01-13,5243,942,4301
2015-01-20,5688,1132,4556
2015-01-27,6114,1372,4742
2015-02-03,3870,2259,1611
2015-02-10,4581,2615,1966
2015-02-17,3435,2059,1376
2015-02-24,4874,1901,2973
2015-03-03,8263,3039,5224
2015-03-10,8627,4489,4138
2015-03-17,7999,5617,2382
2015-03-24,8089,5354,2735
2015-03-31,8211,5279,2932
2015-04-07,6668,5198,1470
2015-04-14,5857,5239,618
2015-04-21,6164,4798,1366
2015-04-28,6201,4954,1247
2015-05-05,6018,5289,729
2015-05-12,6198,5568,630
2015-05-19,5949,5792,157
2015-05-26,6074,5781,293
2015-06-02,6984,4849,2135
2015-06-09,5668,4566,1102
2015-06-16,3494,1310,2184
2015-06-23,3879,1812,2067
2015-06-30,3390,1399,1991
2015-07-07,2308,1309,999
2015-07-14,2212,4213,-2001
2015-07-21,2277,3970,-1693
2015-07-28,2375,3494,-1119
2015-08-04,2665,3690,-1025
2015-08-11,2815,3505,-690
2015-08-18,3444,3733,-289
2015-08-25,2839,3369,-530
2015-09-01,2566,5962,-3396
2015-09-08,2732,3539,-807
2015-09-15,2761,3290,-529
2015-09-22,1157,3700,-2543
2015-09-29,1157,2937,-1780
2015-10-06,1487,1615,-128
2015-10-13,3706,2535,1171
2015-10-20,3802,1728,2074
2015-10-27,3433,1343,2090
2015-11-03,3495,1442,2053
2015-11-10,3534,1263,2271
2015-11-17,2160,812,1348
2015-11-24,2969,1353,1616
2015-12-01,2276,1446,830
2015-12-08,2464,2341,123
2015-12-15,3252,2416,836
2015-12-22,2492,3327,-835
2015-12-29,2809,3593,-784
2016-01-05,2880,3378,-498
2016-01-12,3080,3737,-657
2016-01-19,3372,2721,651
2016-01-26,4188,2124,2064
2016-02-02,5325,3685,1640
2016-02-09,5093,3437,1656
2016-02-16,5928,4700,1228
2016-02-23,5427,3993,1434
2016-03-01,5115,3273,1842
2016-03-08,5804,3203,2601
2016-03-15,5939,797,5142
2016-03-22,5920,2792,3128
2016-03-29,5907,2903,3004
2016-04-05,6046,2665,3381
2016-04-12,6141,3345,2796
2016-04-19,7173,4372,2801
2016-04-26,7075,4358,2717
2016-05-03,7945,3494,4451
2016-05-10,6627,2485,4142
